1.000000000000000056e-01 6.210401340734264153e+01
2.035557969223610320e-01 8.522782748550559973e+01
4.143496246069749422e-01 2.646135486030404849e+01
8.434326804135393596e-01 1.413132563052952761e+01
1.716856114119410526e+00 7.320132454555469792e+00
3.494760145106045712e+00 2.739909442334367284e+00
7.113786863895676049e+00 7.939755864481569114e-01
1.448052554216106991e+01 1.938988414415575567e-01
2.947594916589202185e+01 3.071186876436299631e-02
1.000000000000000056e-01 4.307033506468080475e+01
2.035557969223610320e-01 -2.416210799176922563e+01
4.143496246069749422e-01 2.520169382915584322e+01
8.434326804135393596e-01 1.151087432958491164e+01
1.716856114119410526e+00 5.309157514462235383e+00
3.494760145106045712e+00 8.761863984066848854e-01
7.113786863895676049e+00 -1.026445726823780047e-01
1.448052554216106991e+01 -1.006939578787173772e-01
2.947594916589202185e+01 -3.274831149685449028e-02
1.000000000000000056e-01 1.126289019934657290e+03
2.035557969223610320e-01 4.685222116704925952e+02
4.143496246069749422e-01 2.280823111006961312e+02
8.434326804135393596e-01 1.251639402405028534e+02
1.716856114119410526e+00 7.221921209976078160e+01
3.494760145106045712e+00 4.065722243612550812e+01
7.113786863895676049e+00 2.055239879431285033e+01
1.448052554216106991e+01 8.298748814434468102e+00
2.947594916589202185e+01 2.675605049998238005e+00
